6.250000000000000000e-02,6.250000000000000000e-02
6.250000000000000000e-02,1.250000000000000000e-01
6.250000000000000000e-02,2.500000000000000000e-01
6.250000000000000000e-02,4.999999999999999445e-01
6.250000000000000000e-02,1.000000000000000000e+00
6.250000000000000000e-02,2.000000000000000444e+00
1.250000000000000000e-01,6.250000000000000000e-02
1.250000000000000000e-01,1.250000000000000000e-01
1.250000000000000000e-01,2.500000000000000000e-01
1.250000000000000000e-01,4.999999999999999445e-01
1.250000000000000000e-01,1.000000000000000000e+00
1.250000000000000000e-01,2.000000000000000444e+00
2.500000000000000000e-01,6.250000000000000000e-02
2.500000000000000000e-01,1.250000000000000000e-01
2.500000000000000000e-01,2.500000000000000000e-01
2.500000000000000000e-01,4.999999999999999445e-01
2.500000000000000000e-01,1.000000000000000000e+00
2.500000000000000000e-01,2.000000000000000444e+00
4.999999999999999445e-01,6.250000000000000000e-02
4.999999999999999445e-01,1.250000000000000000e-01
4.999999999999999445e-01,2.500000000000000000e-01
4.999999999999999445e-01,4.999999999999999445e-01
4.999999999999999445e-01,1.000000000000000000e+00
4.999999999999999445e-01,2.000000000000000444e+00
1.000000000000000000e+00,6.250000000000000000e-02
1.000000000000000000e+00,1.250000000000000000e-01
1.000000000000000000e+00,2.500000000000000000e-01
1.000000000000000000e+00,4.999999999999999445e-01
1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000444e+00
2.000000000000000444e+00,6.250000000000000000e-02
2.000000000000000444e+00,1.250000000000000000e-01
2.000000000000000444e+00,2.500000000000000000e-01
2.000000000000000444e+00,4.999999999999999445e-01
2.000000000000000444e+00,1.000000000000000000e+00
2.000000000000000444e+00,2.000000000000000444e+00


